,Unnamed: 0,Country,Title,Year,Form of Violence,Full_Text,Brief_Description,Source of Info,Full_Text_Language,Country_Official_Spoken_Language,Type_of_Measures_1,Type_of_Measures_2,Population(2020),Yearly_Change,Net_Change,Density(P/Km),Land Area(Km),Migrants(net),Fert_Rate,Med_Age,UrbanPop %,WorldShare,Region,Income group,Rank_2020,Lower or single House Elections_2020,Lower or single House Seats_2020,Lower or single House Women_2020,Lower or single House % of Women_2020,Upper chamber Elections_2020,Upper chamber Seats_2020,Upper chamber Women_2020,Upper chamber % of Women_2020
112,112,Sierra Leone,Child Rights Act,2007,Child early and forced marriage,"Article 34 of the Child Rights Act prohibits early and forced marriage as follows:

(1) The minimum age of marriage of whatever kind shall be eighteen years.
(2) No person shall force a child -
(a) to be betrothed;
(b) to be the subject of a dowry transaction; or
(c) to be married.
(3) Notwithstanding any law to the contrary, no certificate, licence or registration shall be granted in respect of any
marriage unless the registrar or other responsible officer is satisfied that the parties to the marriage are of the age of maturity.

The Child Rights Act 2007 also contains provisions related to the protection of children victims of domestic violence.",Child Rights Act,Response of the Government of Sierra Leone to the questionnaire on violence against women 2010; CRC/C/OPSC/SLE/1 p.,English,English,Violence against women ,  Legislation,"7,976,983",2.10%,"163,768",111,"72,180","-4,200",4.3,19,43%,0.10%,Sub-Saharan Africa,Low income,157.0,3.2018,146,18,12.3,-,-,-,-
113,113,Sierra Leone,Family Support Units,2010,Violence against women and girls,"The Family Support Units (FSUs) are specialised units attached to police stations across Sierra Leone, with a mandate to investigate all forms of child abuse and violence against children (sexual and physical abuse, exploitation, including commercial exploitation, as well as internal and cross-border trafficking). The Family Support Units also have a mandate to investigate allegations of sexual and domestic violence, as well as commercial and other forms of exploitation against women and vulnerable members of society. Some of the activities that the Family Support Units carry out are as follows:

- investigation of alleged child sexual violence and abuse cases;

- gathering evidence for prosecution of the alleged perpetrator;

- referrals for medical assessment and treatment of victims, when the Family Support Unit is the first point of contact and there is no medical report;

- giving advice on the process of investigation and prosecution to children/victims and their families/care givers.

The Family Support Units have a partnership with the Ministry of Social Welfare, Gender and Children's Affairs in an effort to combat all forms of abuse against children and women. A social worker of the Ministry of Social Welfare, Gender and Children's Affairs should be located in the Family Support Units, in line with the Memorandum of Understanding between the Sierra Leone Police and the Ministry, being responsible for referrals for, or direct provision of, psychosocial care and legal advice. There are currently 41 Family Support Units across the country.",,Response of the Government of Sierra Leone to the questionnaire on violence against women 2010,English,English,Institutional mechanisms,,"7,976,983",2.10%,"163,768",111,"72,180","-4,200",4.3,19,43%,0.10%,Sub-Saharan Africa,Low income,157.0,3.2018,146,18,12.3,-,-,-,-
114,114,Sierra Leone,Sierra Leone Demographic and Health Survey,2008,Violence against women and girls,"In 2008, the Demographic and Health Survey conducted a survey which included a module on violence against women.  The survey report contains two chapters, namely Chapters 15 and 16, that are related to violence against women, i.e. domestic violence, sexual violence, female genital mutilation. 


For more information on statistics in Sierra Leone,[http://www.statistics.sl/] please click here.",,Website of Statistics Sierra Leone,English,English,Research and statistical data ,  Violence against women module in survey,"7,976,983",2.10%,"163,768",111,"72,180","-4,200",4.3,19,43%,0.10%,Sub-Saharan Africa,Low income,157.0,3.2018,146,18,12.3,-,-,-,-
115,115,Sierra Leone,Domestic Violence Act,2007,Sexual harassment,"In June 2007, the Domestic Violence Act was passed by Parliament.  The Domestic Violence Act, together with two other Acts, namely the Registration of Customary Marriage Divorce Act and the Devolution of Estates Act, were passed in 2007 and are referred to as the Gender Laws of Sierra Leone.

The Domestic Violence Act 2007 introduces the crime of domestic violence that covers violence occurring in a domestic relationship i.e. between couples, partners, parents and children and other family members.  It seeks to address the high incidence of domestic violence in Sierra Leone which sometimes results in death.  Some of these acts of violence can be prosecuted under the general law, but the existing law did not provide mechanisms such as a protection order to prevent repetition of the abuse.",Domestic Violence Act,Response of the Government of Sierra Leone to the questionnaire on violence against women 2010; CEDAW/C/SLE/Q/5/Add.1 p. 8,English,English,Violence against women ,  Legislation,"7,976,983",2.10%,"163,768",111,"72,180","-4,200",4.3,19,43%,0.10%,Sub-Saharan Africa,Low income,157.0,3.2018,146,18,12.3,-,-,-,-
116,116,Sierra Leone,Anti-Human Trafficking Act No.7,2005,Trafficking,"The Government of Sierra Leone enacted the Anti-Human Trafficking Act No.7 of 2005 which came into force on the 18th August, 2005. In section 2(1) of the Act trafficking in persons constitutes an offence. In section 2(2) there is a definition of trafficking in persons:

"" A person engages in the trafficking in persons if he undertakes the recruitment, transportation, transfer, habouring or receipt of persons, by means of  threat or use of force or other forms of coercion, of abduction, of fraud, of deception, of the abuse of power or of a position of vulnerability or of the giving or receiving of payments or benefits to achieve the consent of a person having control over another person for the purpose of exploitation"".

According to section 2 (3) of the law, ""exploitation"" includes:


    (a)Keeping a person in a state of slavery;
    (b) subjecting a person to practices similar to slavery
    (c) Compelling or causing a person to provide forced labour or services;
    (d) keeping a person in a state of servitude including sexual servitude;
    (e) Exploitation of the prostitution of another;
    (f) Engaging in any other form of commercial sexual exploitation, including but not limited to pimping, pandering, procuring, profiting from prostitution, maintaining a brothel, child pornography, illicit removal of human organs;
    (g) Exploitation during armed conflicts.",Anti-Human Trafficking Act No.7,Response of the Government of Sierra Leone to the questionnaire on violence against women 2010,English,English,Violence against women ,  Legislation,"7,976,983",2.10%,"163,768",111,"72,180","-4,200",4.3,19,43%,0.10%,Sub-Saharan Africa,Low income,157.0,3.2018,146,18,12.3,-,-,-,-
117,117,Sierra Leone,Sexual Offenses Act,2012,Sexual violence,"Sierra Leone has enacted the Sexual Offenses Act  on 28 August 2012.

The act makes provision for various categories of sexual offences and covers persons with mental disabilities, children and married women.  It prohibits forced sex in marital relationships.  It protects children, especially the girl child, from abuse by teachers, religious and traditional leaders.  The law introduces stiff minimum sentences for offenders, raising minimum jail sentences from two years to between five and fifteen years.",,UN Women,,English,Violence against women ,  Legislation,"7,976,983",2.10%,"163,768",111,"72,180","-4,200",4.3,19,43%,0.10%,Sub-Saharan Africa,Low income,157.0,3.2018,146,18,12.3,-,-,-,-
118,118,Sierra Leone,National Action Plan for the Full Implementation of UN Security Council Resolutions 1325 (2000) and 1820 (2008),2010 - 2014,Violence against women and girls,"The Sierra Leone National Action Plan (SiLNAP) for the Full Implementation of UN Security Council Resolutions (UNSCR) 1325 (2000) and 1820 (2008) was adopted in September 2009 at a National Consultative Conference, attended by line Ministries, civil society organizations and UN Agencies, with support from Cordaid, Netherlands.

The SiLNAP is a five year (2010-2014) dynamic implementation plan, encompassing both the UNSCR 1325 (2000) and major components of 1820 (2008), designed and developed around five pillars:

The pillars are the identified overall objectives as follows:

Pillar 1: Contribute to reduced conflict including violence against women/children (SGBV)

Pillar 2: Protection, empowerment of victims/vulnerable persons especially women and girls

Pillar 3: Contribute to increased prosecution of perpetrators as well as rehabilitation of victims

Pillar 4: Contribute to increased participation and representation of women

Pillar 5: Ensure effective coordination of the implementation process including resource

Each pillar contains priority outcome and output objectives with indicators for monitoring progress towards full implementation.

Appropriate activities including responsible parties, and timelines have been identified.

In all, there are eleven expected outcome objectives, twenty-three key output objectives and thirty-five indicators.",National Action Plan for the Full Implementation of UN Security Council Resolutions 1325 (2000) and 1820 (2008),"Response of the Government of Sierra Leone to the questionnaire on violence against women 2010; Minister of Social Welfare, Gender and Children's Affairs",,English,Policies ,  Inclusion of violence against women in other national plan strategy,"7,976,983",2.10%,"163,768",111,"72,180","-4,200",4.3,19,43%,0.10%,Sub-Saharan Africa,Low income,157.0,3.2018,146,18,12.3,-,-,-,-
119,119,Sierra Leone,Family Support Units,2010,Violence against women and girls,"The Family Support Units (FSUs) are specialised units attached to police stations across Sierra Leone, with a mandate to investigate all forms of child abuse and violence against children (sexual and physical abuse, exploitation, including commercial exploitation, as well as internal and cross-border trafficking). The Family Support Units also have a mandate to investigate allegations of sexual and domestic violence, as well as commercial and other forms of exploitation against women and vulnerable members of society. Some of the activities that the Family Support Units carry out are as follows:

- investigation of alleged child sexual violence and abuse cases;

- gathering evidence for prosecution of the alleged perpetrator;

- referrals for medical assessment and treatment of victims, when the Family Support Unit is the first point of contact and there is no medical report;

- giving advice on the process of investigation and prosecution to children/victims and their families/care givers.

The Family Support Units have a partnership with the Ministry of Social Welfare, Gender and Children's Affairs in an effort to combat all forms of abuse against children and women. A social worker of the Ministry of Social Welfare, Gender and Children's Affairs should be located in the Family Support Units, in line with the Memorandum of Understanding between the Sierra Leone Police and the Ministry, being responsible for referrals for, or direct provision of, psychosocial care and legal advice. There are currently 41 Family Support Units across the country.",,Response of the Government of Sierra Leone to the questionnaire on violence against women 2010,,English,Institutional mechanisms,,"7,976,983",2.10%,"163,768",111,"72,180","-4,200",4.3,19,43%,0.10%,Sub-Saharan Africa,Low income,157.0,3.2018,146,18,12.3,-,-,-,-
120,120,Sierra Leone,Sierra Leone Demographic and Health Survey,2008,Violence against women and girls,"In 2008, the Demographic and Health Survey conducted a survey which included a module on violence against women.  The survey report contains two chapters, namely Chapters 15 and 16, that are related to violence against women, i.e. domestic violence, sexual violence, female genital mutilation. 


For more information on statistics in Sierra Leone,[http://www.statistics.sl/] please click here.",,Website of Statistics Sierra Leone,,English,Research and statistical data ,  Violence against women module in survey,"7,976,983",2.10%,"163,768",111,"72,180","-4,200",4.3,19,43%,0.10%,Sub-Saharan Africa,Low income,157.0,3.2018,146,18,12.3,-,-,-,-
121,121,Sierra Leone,Sexual Offenses Act,2012,Sexual violence,"Sierra Leone has enacted the Sexual Offenses Act  on 28 August 2012.

The act makes provision for various categories of sexual offences and covers persons with mental disabilities, children and married women.  It prohibits forced sex in marital relationships.  It protects children, especially the girl child, from abuse by teachers, religious and traditional leaders.  The law introduces stiff minimum sentences for offenders, raising minimum jail sentences from two years to between five and fifteen years.",,UN Women,English,English,Violence against women ,  Legislation,"7,976,983",2.10%,"163,768",111,"72,180","-4,200",4.3,19,43%,0.10%,Sub-Saharan Africa,Low income,157.0,3.2018,146,18,12.3,-,-,-,-
122,122,Sierra Leone,National Action Plan for the Full Implementation of UN Security Council Resolutions 1325 (2000) and 1820 (2008),2010 - 2014,Violence against women and girls,"The Sierra Leone National Action Plan (SiLNAP) for the Full Implementation of UN Security Council Resolutions (UNSCR) 1325 (2000) and 1820 (2008) was adopted in September 2009 at a National Consultative Conference, attended by line Ministries, civil society organizations and UN Agencies, with support from Cordaid, Netherlands.

The SiLNAP is a five year (2010-2014) dynamic implementation plan, encompassing both the UNSCR 1325 (2000) and major components of 1820 (2008), designed and developed around five pillars:

The pillars are the identified overall objectives as follows:

Pillar 1: Contribute to reduced conflict including violence against women/children (SGBV)

Pillar 2: Protection, empowerment of victims/vulnerable persons especially women and girls

Pillar 3: Contribute to increased prosecution of perpetrators as well as rehabilitation of victims

Pillar 4: Contribute to increased participation and representation of women

Pillar 5: Ensure effective coordination of the implementation process including resource

Each pillar contains priority outcome and output objectives with indicators for monitoring progress towards full implementation.

Appropriate activities including responsible parties, and timelines have been identified.

In all, there are eleven expected outcome objectives, twenty-three key output objectives and thirty-five indicators.",National Action Plan for the Full Implementation of UN Security Council Resolutions 1325 (2000) and 1820 (2008),"Response of the Government of Sierra Leone to the questionnaire on violence against women 2010; Minister of Social Welfare, Gender and Children's Affairs",English,English,Policies ,  Inclusion of violence against women in other national plan strategy,"7,976,983",2.10%,"163,768",111,"72,180","-4,200",4.3,19,43%,0.10%,Sub-Saharan Africa,Low income,157.0,3.2018,146,18,12.3,-,-,-,-
123,123,Togo,Law on Reproductive Health (Protection against Various Forms of Violence),2007,Violence against women and girls,"Article 11 of law No. 2007-005 of 10 January 2007 on reproductive health: 
 
Article 11, paragraph 2, of this Law provides that “no woman may be subjected, for reasons connected with sexual relations or reproduction, to torture or constraint and/or to acts of violence such as: rape, female genital mutilation, forced and/or early marriage, early pregnancy, unwanted and/or closely spaced pregnancies, sexual exploitation, sexual abuse, harassment or any other form of violence”.",,CEDAW/C/TGO/6-7 para. 97,English,French,Violence against women ,  Legislation,"8,278,724",2.43%,"196,358",152,"54,390","-2,000",4.4,19,43%,0.11%,Sub-Saharan Africa,Low income,120.0,12.2018,91,17,18.7,-,-,-,-
124,124,Togo,"Etude sociologique : violence, abus, exploitation sexuels des enfants au Togo",2006,Child early and forced marriage,"En 2006, le Ministère en charge de la protection de l’enfant du Togo a mené une étude sur les violences physique, sexuelle,  et économiques subis par les enfants togolais.Cette étude rend compte de la spécificité des violences, abus, exploitation sexuelle des enfants au Togo.",,Response of the Government of Togo to the Questionnaire on the Global Database on Violence against Women 2017,French,French,Research and statistical data ,  Violence against children survey,"8,278,724",2.43%,"196,358",152,"54,390","-2,000",4.4,19,43%,0.11%,Sub-Saharan Africa,Low income,120.0,12.2018,91,17,18.7,-,-,-,-
125,125,Togo,Loi Harcèlement Sexuel,2015,Sexual harassment,"La loi N° 2015-10 du 24 novembre 2015 porterévision du code pénal qui punit le harcèlement sexuel et les violences familiales comme des infractions distinctes et prévoit des sanctions adéquates. En ce qui concerne les violences familiales et les agressions sexuelles, ce nouveau code  consacre un certain nombre d’articles aux violences à l’égard des femmes (197 à 202.3). A ce titre, le harcèlement sexuel est puni d’une peine de un (1) à cinq (5) ans d’emprisonnement et d’une amende de cent mille (100000) à cinq millions (5000000) de FCFA ou de l’une de ces deux peines. La répression de la violence entre époux est prévue aussi aux articles 186 et suivants  de ce nouveau code.",,Response of the Government of Togo to the Questionnaire on the Global Database on Violence against Women 2017,French,French,Violence against women ,  Legislation,"8,278,724",2.43%,"196,358",152,"54,390","-2,000",4.4,19,43%,0.11%,Sub-Saharan Africa,Low income,120.0,12.2018,91,17,18.7,-,-,-,-
126,126,Togo,"Articles 40-42, 301 of the Labour Code (Sexual Harassment in the Workplace)",2006,Sexual harassment,"Law No. 2006-010 of 13 December 2006 constituting the Labour Code: This Labour Code introduced innovations promoting the equality of rights of men and women. Article 40 protects women against sexual harassment in the workplace.
 

 
Law No. 2006-010 of 13 December 2006 constituting the Labour Code refers to sexual harassment in the workplace in its articles 40, 41, 42 and 301. Pursuant to these articles, no employee may be punished or dismissed for having endured or refusing to endure acts of sexual harassment. In addition, any employee committing such an act is liable to disciplinary sanctions. And any act of sexual harassment triggers a liability to pay compensatory damages, to which criminal penalties may be added.",,"CEDAW/C/TGO/6-7 para. 97, 225
[http://www.ilo.org/dyn/natlex/docs/SERIAL/75548/78930/F1073375156/code%20travail.pdf"" target=""_blank]Please click here for more information.",English,French,Other relevant laws ,  Employment Labor law,"8,278,724",2.43%,"196,358",152,"54,390","-2,000",4.4,19,43%,0.11%,Sub-Saharan Africa,Low income,120.0,12.2018,91,17,18.7,-,-,-,-
127,127,Togo,Committees to End Sexual Harassment in Schools,2000,Sexual harassment,"Action is being taken to eliminate the specific phenomenon of sexual harassment in schools. For example, various human rights associations20 have carried out measures in this area in collaboration with the Government, notably in 2000 and 2001, in schools, universities and trainee workplaces. This action led to the creation of “SOS girls” committees in almost 90 schools of various types. A guide on the care of victims was produced and made available to these committees. The committees are made up of boys and girls, teachers and parents.",,CEDAW/C/TGO/6-7 para. 163,English,French,Education ,  Formal education,"8,278,724",2.43%,"196,358",152,"54,390","-2,000",4.4,19,43%,0.11%,Sub-Saharan Africa,Low income,120.0,12.2018,91,17,18.7,-,-,-,-
128,128,Togo,"Articles 366, 388 of the Criminal Code (Sexual Harassment and Violence)",,Sexual violence,"Articles 366, 388 et seq. of the Criminal Code characterize incest, child prostitution, child pornography, paedophilia, sex tourism and sexual harassment as violations of the criminal law. The same is true of sexual abuse and corruption of young people (incitement to debauchery or sexual exhibitionism). All of these acts are new crimes now added to rape and indecent assault.",,CEDAW/C/TGO/6-7 para. 152,English,French,Violence against women ,  Legislation,"8,278,724",2.43%,"196,358",152,"54,390","-2,000",4.4,19,43%,0.11%,Sub-Saharan Africa,Low income,120.0,12.2018,91,17,18.7,-,-,-,-
129,129,Togo,Law Prohibiting Trafficking in Children,2005,Trafficking,"Law No. 2005-009 of 3 August 2005 on trafficking in children. This Law provides for the prosecution and punishment not only of persons who recruit children but also of persons who transport, harbor or accept children. It also provides for the prosecution of parents or guardians as accomplices if they acted knowingly. Furthermore, any person of foreign nationality found guilty of trafficking of children is banned from Togo for at least five years (art. 14).
 
Trafficking of children is clearly defined in article 2 of the law as “the process by which any child is recruited or abducted, transported, transferred, harbored or received within or outside the national territory by one or more persons for purposes of the child’s exploitation”.",,"CEDAW/C/TGO/6-7 para. 115, 142-143",English,French,Violence against women ,  Legislation,"8,278,724",2.43%,"196,358",152,"54,390","-2,000",4.4,19,43%,0.11%,Sub-Saharan Africa,Low income,120.0,12.2018,91,17,18.7,-,-,-,-
130,130,Togo,Lutte contre les Violences Sexuelles à l’Egard des Filles,2016,Sexual violence,"En 2016, le Togo a lancé une campagne de lutte contre Violences Sexuelles à l'égard des jeuens filles dont les principaux messages étaient: les différentes formes de violences, leurs causes et conséquences ; les violences sexuelles à l’égard des filles ; la contribution de la femme à la culture de la paix ; paix et violences basées sur le genre. 
Les médias utilisés étaient une émission radiotélévisée et la presse écrite. Enfin le public cible était les réfugiés, les comités d’hommes et club de mère, les chefs religieux et traditionnels, les élèves, la communauté",,Response of the Government of Togo to the Questionnaire on the Global Database on Violence against Women 2017,,French,Prevention ,  Awareness-raising Campaigns,"8,278,724",2.43%,"196,358",152,"54,390","-2,000",4.4,19,43%,0.11%,Sub-Saharan Africa,Low income,120.0,12.2018,91,17,18.7,-,-,-,-
131,131,Togo,Lutte contre les Violences Sexuelles et les Grossesses Précoces à l’égard des Jeunes Filles,2015,Sexual violence,"En Novembre 2015, le Togo a lancé une campagne de lutte contre Violences Sexuelles et les Grossesses Précoces à l’égard des Jeunes Filles.  Les principaux messages étaient les suivants: les méfaits des violences sexuelles à l’égard des filles ; les conséquences ; les mécanismes mise en place pour lutter contre les violences sexuelles et grossesses précoces des jeunes filles.
Les médias utilisés ont été la radiotélévision, les films documentaires et la presse écrite. 
Enfin le public cible était les élèves, les enseignants, les parents d’élèves et les communautés.",,Response of the Government of Togo to the Questionnaire on the Global Database on Violence against Women 2017,,French,Prevention ,  Awareness-raising Campaigns,"8,278,724",2.43%,"196,358",152,"54,390","-2,000",4.4,19,43%,0.11%,Sub-Saharan Africa,Low income,120.0,12.2018,91,17,18.7,-,-,-,-
132,132,Togo,Law on Reproductive Health (Protection against Various Forms of Violence),2007,Violence against women and girls,"Article 11 of law No. 2007-005 of 10 January 2007 on reproductive health: 
 
Article 11, paragraph 2, of this Law provides that “no woman may be subjected, for reasons connected with sexual relations or reproduction, to torture or constraint and/or to acts of violence such as: rape, female genital mutilation, forced and/or early marriage, early pregnancy, unwanted and/or closely spaced pregnancies, sexual exploitation, sexual abuse, harassment or any other form of violence”.",,CEDAW/C/TGO/6-7 para. 97,,French,Violence against women ,  Legislation,"8,278,724",2.43%,"196,358",152,"54,390","-2,000",4.4,19,43%,0.11%,Sub-Saharan Africa,Low income,120.0,12.2018,91,17,18.7,-,-,-,-
133,133,Togo,Protection of Persons against HIV/AIDS (Right to Refuse Unprotected Sexual Relations),2005,Sexual violence,"Article 46 of Law No. 2005-012 of 14 December 2005 on protection of persons against HIV/AIDS: 
 
This Law was revised in 2008 in order to take account of the gender approach and human rights. It provides for HIV/AIDS prevention and treatment programmes for women (art. 45). Article 46 establishes a woman’s right to refuse to engage in unprotected sexual relations even in the case of married couples",,"CEDAW/C/TGO/6-7 para. 97
[http://ilo.org/dyn/natlex/docs/SERIAL/73310/74831/F714083636/TGO-73310.pdf"" target=""_blank]Please click here for more information",,French,Violence against women ,  Legislation,"8,278,724",2.43%,"196,358",152,"54,390","-2,000",4.4,19,43%,0.11%,Sub-Saharan Africa,Low income,120.0,12.2018,91,17,18.7,-,-,-,-
134,134,Togo,"Articles 366, 388 of the Criminal Code (Sexual Harassment and Violence)",,Sexual violence,"Articles 366, 388 et seq. of the Criminal Code characterize incest, child prostitution, child pornography, paedophilia, sex tourism and sexual harassment as violations of the criminal law. The same is true of sexual abuse and corruption of young people (incitement to debauchery or sexual exhibitionism). All of these acts are new crimes now added to rape and indecent assault.",,CEDAW/C/TGO/6-7 para. 152,,French,Violence against women ,  Legislation,"8,278,724",2.43%,"196,358",152,"54,390","-2,000",4.4,19,43%,0.11%,Sub-Saharan Africa,Low income,120.0,12.2018,91,17,18.7,-,-,-,-
135,135,Togo,Lutte contre les Violences Sexuelles à l’Egard des Filles,2016,Sexual violence,"En 2016, le Togo a lancé une campagne de lutte contre Violences Sexuelles à l'égard des jeuens filles dont les principaux messages étaient: les différentes formes de violences, leurs causes et conséquences ; les violences sexuelles à l’égard des filles ; la contribution de la femme à la culture de la paix ; paix et violences basées sur le genre. 
Les médias utilisés étaient une émission radiotélévisée et la presse écrite. Enfin le public cible était les réfugiés, les comités d’hommes et club de mère, les chefs religieux et traditionnels, les élèves, la communauté",,Response of the Government of Togo to the Questionnaire on the Global Database on Violence against Women 2017,French,French,Prevention ,  Awareness-raising Campaigns,"8,278,724",2.43%,"196,358",152,"54,390","-2,000",4.4,19,43%,0.11%,Sub-Saharan Africa,Low income,120.0,12.2018,91,17,18.7,-,-,-,-
136,136,Togo,Lutte contre les Violences Sexuelles et les Grossesses Précoces à l’égard des Jeunes Filles,2015,Sexual violence,"En Novembre 2015, le Togo a lancé une campagne de lutte contre Violences Sexuelles et les Grossesses Précoces à l’égard des Jeunes Filles.  Les principaux messages étaient les suivants: les méfaits des violences sexuelles à l’égard des filles ; les conséquences ; les mécanismes mise en place pour lutter contre les violences sexuelles et grossesses précoces des jeunes filles.
Les médias utilisés ont été la radiotélévision, les films documentaires et la presse écrite. 
Enfin le public cible était les élèves, les enseignants, les parents d’élèves et les communautés.",,Response of the Government of Togo to the Questionnaire on the Global Database on Violence against Women 2017,French,French,Prevention ,  Awareness-raising Campaigns,"8,278,724",2.43%,"196,358",152,"54,390","-2,000",4.4,19,43%,0.11%,Sub-Saharan Africa,Low income,120.0,12.2018,91,17,18.7,-,-,-,-
137,137,Togo,Protection of Persons against HIV/AIDS (Right to Refuse Unprotected Sexual Relations),2005,Sexual violence,"Article 46 of Law No. 2005-012 of 14 December 2005 on protection of persons against HIV/AIDS: 
 
This Law was revised in 2008 in order to take account of the gender approach and human rights. It provides for HIV/AIDS prevention and treatment programmes for women (art. 45). Article 46 establishes a woman’s right to refuse to engage in unprotected sexual relations even in the case of married couples",,"CEDAW/C/TGO/6-7 para. 97
[http://ilo.org/dyn/natlex/docs/SERIAL/73310/74831/F714083636/TGO-73310.pdf"" target=""_blank]Please click here for more information",English,French,Violence against women ,  Legislation,"8,278,724",2.43%,"196,358",152,"54,390","-2,000",4.4,19,43%,0.11%,Sub-Saharan Africa,Low income,120.0,12.2018,91,17,18.7,-,-,-,-
138,138,Zimbabwe,Domestic Violence Act,2007,Stalking,"Zimbabwe enacted the Domestic Violence Act (Chapter 5:16) on 26 February 2007.  The Act came into force on the 25 October 2007.  The Act addresses the following forms of violence: physical, emotional, sexual, economic and emotional abuse.  The Act also provides for protection and relief to survivors of domestic violence.  The Act further aims to protect women and criminalizes domestic violence and such acts as abuse derived from any cultural or customary rites or practices that discriminate or degrade women.  Examples include virginity testing, female genital mutilation, pledging of women and girls for purposes of appeasing spirits, abduction, child marriages, forced marriages, forced wife inheritance and such other practices.",Domestic Violence Act,"Response of the Government of Zimbabwe to the questionnaire on violence against women 2011; Response of the Government of Zimbabwe to the questionnaire on Beijing +15, 2009",English,English,Violence against women ,  Legislation,"14,862,924",1.48%,"217,456",38,"386,850","-116,858",3.6,19,38%,0.19%,Sub-Saharan Africa,Lower middle income,46.0,7.2018,270,86,31.9,7.2018,80,35,43.8
139,139,Zimbabwe,Zimbabwe Women Lawyers Association,2011,Domestic violence Intimate partner violence,The Zimbabwe Women Lawyers Association has carried out an evaluation on the Domestic Violence Act (2007) and has noted that the number of women was slowly increasing in taking up the piece of legislation to use. [http://www.zwla.co.zw/]Click here for more information.,,Response of the Government of Zimbabwe to the questionnaire on violence against women 2011,English,English,"Institutional mechanisms, Justice ",  Protocols and guidelines,"14,862,924",1.48%,"217,456",38,"386,850","-116,858",3.6,19,38%,0.19%,Sub-Saharan Africa,Lower middle income,46.0,7.2018,270,86,31.9,7.2018,80,35,43.8
140,140,Zimbabwe,4ps Campaign on Zero Tolerance to Domestic Violence,2011,Violence against women and girls,"A 4Ps (Prevention, Protection, Programmes and Participation) Campaign on Zero Tolerance to Domestic Violence is being run nationwide with the aim of raising awareness on using the 4Ps to effectively address domestic violence.  The campaign is focusing on social and community mobilization in addressing violence against women.",,Response of the Government of Zimbabwe to the questionnaire on violence against women 2011,English,English,Prevention ,  Awareness-raising Campaigns,"14,862,924",1.48%,"217,456",38,"386,850","-116,858",3.6,19,38%,0.19%,Sub-Saharan Africa,Lower middle income,46.0,7.2018,270,86,31.9,7.2018,80,35,43.8
141,141,Zimbabwe,Women's Fund,2011,Domestic violence Intimate partner violence,"The Ministry of Women Affairs, Gender and Community Development has a Women's Fund which is a revolving loan facility for women in order to economically empower them for them to be able to  be self reliant and not stay in abusive relationships.",,Response of the Government of Zimbabwe to the questionnaire on violence against women 2011,English,English,Social services ,  Longer term support Education Employment Housing and Financial,"14,862,924",1.48%,"217,456",38,"386,850","-116,858",3.6,19,38%,0.19%,Sub-Saharan Africa,Lower middle income,46.0,7.2018,270,86,31.9,7.2018,80,35,43.8
142,142,Zimbabwe,Anti-Domestic Violence Council,2009,Domestic violence Intimate partner violence,"The Anti-Domestic Violence Council (ADVC) was established in terms of section 16 of the Domestic Violence Act (Chapter 5:16) of 2007.  The ADVC was launched in October 2009 and has been operational since then though with very little resources and at very low capacity. 

Membership of the Council includes the following: Government Institutions which are Justice and Legal Affairs, Health and Child Welfare, Department of Social Services, Zimbabwe Republic Police, Education, Women Affairs, Gender and Community Development, Council of Chiefs, Churches and Civic Society Organisations concerned with the welfare of children and women. 

The functions of the ADVC among many others are: to keep under constant review the problem of domestic violence in Zimbabwe, to promote research into the problem of domestic violence, to promote the establishment of safe houses as well as promote provision of support services for complainants where the respondent who was the source of support for the complainant and his/her dependants has been imprisoned.  The ADVC has also been tasked to take all steps to disseminate information and increase awareness of the public on domestic violence.",,"Response of the Government of Zimbabwe to the questionnaire on violence against women 2011; Response of the Government of Zimbabwe to the questionnaire on Beijing +15, 2009",English,English,Institutional mechanisms,,"14,862,924",1.48%,"217,456",38,"386,850","-116,858",3.6,19,38%,0.19%,Sub-Saharan Africa,Lower middle income,46.0,7.2018,270,86,31.9,7.2018,80,35,43.8
143,143,Zimbabwe,Demographic and Health Survey,2006,Domestic violence Intimate partner violence,Chapter 17 of the DHS 2006 is dedicated to the issue of domestic violence.,Demographic and Health Survey,"Response of the Government of Zimbabwe to the questionnaire on Beijing +15, 2009",English,English,Research and statistical data ,  Violence against women module in survey,"14,862,924",1.48%,"217,456",38,"386,850","-116,858",3.6,19,38%,0.19%,Sub-Saharan Africa,Lower middle income,46.0,7.2018,270,86,31.9,7.2018,80,35,43.8
144,144,Zimbabwe,Sexual Offences Act,2001,Trafficking,The Sexual Offences Act (2001) protects women from sexual abuse and criminalizes marital rape and willful transmission of HIV and AIDS. The Act also prohibits trafficking of persons for purposes of prostitution and imposes stiffer penalties for violations.,Sexual Offences Act,"Response of the Government of Zimbabwe to the questionnaire on Beijing +15, 2009",English,English,Violence against women ,  Legislation,"14,862,924",1.48%,"217,456",38,"386,850","-116,858",3.6,19,38%,0.19%,Sub-Saharan Africa,Lower middle income,46.0,7.2018,270,86,31.9,7.2018,80,35,43.8
